eps	alpha
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
-0.00303766	1.12725
